step_idx,delta_logp_answer,base_logp_answer,ablated_logp_answer,layers,run_id
5,95.4765625,-7.1484375,-102.625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,81.578125,-10.234375,-91.8125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
6,77.65234375,-5.53515625,-83.1875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,75.775390625,-2.599609375,-78.375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
6,67.853515625,-3.958984375,-71.8125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
11,65.796875,-11.515625,-77.3125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
6,50.013671875,-0.767578125,-50.78125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
7,48.1064453125,-1.0810546875,-49.1875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
7,47.28125,-11.0625,-58.34375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,45.17578125,-1.38671875,-46.5625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
5,8.86328125,-5.53515625,-14.3984375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
4,8.5908203125,-1.0810546875,-9.671875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,5.29296875,-5.53515625,-10.828125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,5.17578125,-5.53515625,-10.7109375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
4,5.01171875,-5.53515625,-10.546875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,4.80859375,-5.53515625,-10.34375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
4,4.5703125,-7.1484375,-11.71875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,4.265625,-7.1484375,-11.4140625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,4.140625,-7.1484375,-11.2890625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,4.046875,-7.1484375,-11.1953125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,3.9921875,-11.0625,-15.0546875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,3.123046875,-2.599609375,-5.72265625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,2.6796875,-11.0625,-13.7421875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
6,2.4453125,-11.0625,-13.5078125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
4,2.3828125,-11.0625,-13.4453125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,2.375,-11.0625,-13.4375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,1.798828125,-2.599609375,-4.3984375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
5,1.3828125,-11.0625,-12.4453125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
6,1.3134765625,-1.0810546875,-2.39453125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,0.8984375,-10.234375,-11.1328125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,0.658203125,-1.38671875,-2.044921875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,0.5546875,-10.234375,-10.7890625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
5,0.18359375,-0.767578125,-0.951171875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,0.10791015625,-0.767578125,-0.87548828125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
5,0.0986328125,-1.0810546875,-1.1796875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
4,0.048828125,-3.958984375,-4.0078125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,0.048828125,-3.958984375,-4.0078125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,0.00732421875,-0.767578125,-0.77490234375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
4,-0.00537109375,-0.767578125,-0.76220703125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,-0.0244140625,-1.38671875,-1.3623046875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,-0.04931640625,-0.767578125,-0.71826171875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
4,-0.1015625,-11.515625,-11.4140625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
1,-0.17822265625,-1.0810546875,-0.90283203125,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,-0.1953125,-1.0810546875,-0.8857421875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,-0.23583984375,-1.0810546875,-0.84521484375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
10,-0.25,-11.515625,-11.265625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
7,-0.28125,-11.515625,-11.234375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
2,-0.34375,-11.515625,-11.171875,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
5,-0.34375,-3.958984375,-3.615234375,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
3,-0.3515625,-11.515625,-11.1640625,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",
